,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavieng,20,PG,1563420000,76,-2.57,150.8,83.39,13.24
1,Puerto Ayora,28,EC,1563420002,93,-0.74,-90.35,70.0,5.99
2,Faya,0,SA,1563420003,37,18.39,42.45,69.8,2.55
3,Chuy,81,UY,1563420004,87,-33.69,-53.46,54.41,12.97
4,Bud,93,NO,1563420005,87,62.91,6.91,55.4,6.93
5,Airai,88,TL,1563420007,46,-8.93,125.41,82.85,4.25
6,Coihaique,75,CL,1563420008,60,-45.58,-72.07,41.0,3.36
7,Ushuaia,40,AR,1563419730,52,-54.81,-68.31,41.0,14.99
8,El Alto,90,BO,1563420011,92,-16.5,-68.19,33.8,4.7
9,Dunedin,86,NZ,1563420012,48,-45.87,170.5,52.0,5.01
10,Mahebourg,40,MU,1563420013,56,-20.41,57.7,71.6,17.22
11,Rylsk,9,RU,1563420014,94,51.57,34.68,53.33,5.14
12,Maningrida,82,AU,1563420015,45,-12.05,134.23,82.31,10.56
13,Nuevo Progreso,1,US,1563420016,70,26.05,-97.95,84.99,11.41
14,Hovd,75,NO,1563420018,87,63.83,10.7,55.0,6.93
15,Barrow,89,AR,1563420019,75,-38.31,-60.23,54.77,17.54
16,Nipawin,1,CA,1563420021,88,53.36,-104.02,64.4,5.82
17,Laela,0,TZ,1563420022,85,-8.57,32.05,48.65,2.28
18,Hermanus,100,ZA,1563420023,70,-34.42,19.24,66.99,8.01
19,Rikitea,25,PF,1563420025,72,-23.12,-134.97,70.79,25.23
20,Ancud,40,CL,1563420026,87,-41.87,-73.83,42.8,11.41
21,Cayenne,0,GF,1563420027,94,4.94,-52.33,75.2,3.0
22,Coruripe,5,BR,1563420028,95,-10.12,-36.18,66.29,5.57
23,Bartica,40,GY,1563420029,100,6.41,-58.62,75.2,4.7
24,Atuona,0,PF,1563420031,69,-9.8,-139.03,80.33,11.27
25,Taybad,0,IR,1563420032,11,34.74,60.78,85.73,25.21
26,San Jose,75,HN,1563419982,94,14.25,-87.96,71.6,3.36
27,Toba,75,JP,1563420034,83,34.47,136.83,82.0,11.41
28,Hasaki,75,JP,1563420035,83,35.73,140.83,84.99,10.29
29,Acapulco,75,MX,1563420037,69,16.86,-99.88,82.4,6.93
30,Jamestown,58,AU,1563420038,70,-33.21,138.6,53.51,13.02
31,Seminole,75,US,1563420039,51,32.72,-102.64,87.8,18.34
32,Licheng,95,CN,1563420041,68,24.5,110.4,87.35,3.87
33,Isla Vista,1,US,1563420042,82,34.41,-119.86,72.0,4.7
34,Avarua,1,CK,1563419979,69,-21.21,-159.78,75.2,17.22
35,Husavik,85,CA,1563420044,90,50.56,-96.99,68.0,4.0
36,Vaini,40,IN,1563420045,88,15.34,74.49,73.4,3.36
37,New Norfolk,75,AU,1563420047,50,-42.78,147.06,55.99,13.87
38,Vengerovo,37,RU,1563420048,76,55.68,76.74,68.99,6.31
39,Kumylzhenskaya,0,RU,1563420049,94,49.88,42.59,61.0,5.21
40,Fort Nelson,75,CA,1563420050,49,58.81,-122.69,68.0,6.93
41,Kaitangata,92,NZ,1563420052,52,-46.28,169.85,52.0,1.99
42,Hobart,75,AU,1563420010,50,-42.88,147.33,55.99,13.87
43,Ribeira Grande,5,PT,1563420054,87,38.52,-28.7,71.69,15.01
44,Srednekolymsk,100,RU,1563420055,44,67.46,153.71,55.31,15.77
45,Sandpoint,90,US,1563420057,72,48.28,-116.55,66.99,4.7
46,Victoria,75,BN,1563419964,79,5.28,115.24,87.8,3.36
47,Hithadhoo,99,MV,1563420025,70,-0.6,73.08,83.39,14.12
48,Busselton,100,AU,1563420060,86,-33.64,115.35,57.0,8.12
49,Isangel,75,VU,1563420062,57,-19.55,169.27,77.0,9.17
50,Ngunguru,40,NZ,1563420063,74,-35.62,174.5,59.09,12.46
51,Kapaa,75,US,1563419776,58,22.08,-159.32,87.8,8.05
52,East London,67,ZA,1563419782,28,-33.02,27.91,57.29,4.7
53,Mataura,100,NZ,1563420066,77,-46.19,168.86,51.01,3.8
54,Saint-Philippe,1,CA,1563420067,83,45.36,-73.48,73.4,4.7
55,Port-Gentil,53,GA,1563420069,87,-0.72,8.78,76.91,16.4
56,Bredasdorp,61,ZA,1563420070,67,-34.53,20.04,66.99,3.36
57,Eureka,1,US,1563419889,88,40.8,-124.16,66.2,12.15
58,Broome,94,GB,1563420072,87,52.47,1.45,62.6,2.24
59,Dikson,73,RU,1563420074,64,73.51,80.55,46.85,7.81
60,Haines Junction,100,CA,1563420075,81,60.75,-137.51,53.33,6.93
61,Butaritari,100,KI,1563420026,66,3.07,172.79,83.93,5.88
62,Albany,75,US,1563420067,88,42.65,-73.75,73.99,2.28
63,Bethel,90,US,1563420080,72,60.79,-161.76,60.8,11.41
64,Yulara,0,AU,1563420081,31,-25.24,130.99,64.4,9.17
65,Qaanaaq,0,GL,1563420082,55,77.48,-69.36,42.53,4.5
66,Tasiilaq,0,GL,1563420083,81,65.61,-37.64,48.2,5.82
67,Sao Filipe,100,CV,1563420044,79,14.9,-24.5,73.49,5.32
68,Issoudun,0,FR,1563420085,77,46.95,1.99,63.0,14.99
69,Naze,99,NG,1563420087,97,5.43,7.07,73.13,3.67
70,Saldanha,8,PT,1563420088,74,41.42,-6.55,64.31,3.6
71,Devils Lake,1,US,1563420089,69,48.11,-98.87,75.2,6.93
72,Punta Arenas,0,CL,1563420090,92,-53.16,-70.91,28.4,6.93
73,Dzaoudzi,20,YT,1563420091,73,-12.79,45.27,77.0,17.22
74,Byron Bay,0,AU,1563420091,37,-28.65,153.62,71.01,6.93
75,Saskylakh,4,RU,1563420094,56,71.97,114.09,50.99,11.01
76,Hamilton,75,CA,1563420016,94,43.26,-79.87,75.0,4.7
77,Port Elizabeth,20,US,1563420097,94,39.31,-74.98,77.0,3.36
78,Norrtalje,0,SE,1563420098,100,59.76,18.7,55.0,1.86
79,Evreux,20,FR,1563420100,87,49.02,1.15,60.01,3.36
80,Gat,0,SN,1563420101,83,14.69,-16.54,78.8,6.93
81,Rocha,67,UY,1563420102,94,-34.48,-54.34,49.19,11.52
82,Mehamn,75,NO,1563420103,87,71.03,27.85,44.6,11.41
83,Mitu,0,IR,1563420104,42,36.2,46.09,64.67,3.06
84,Ponta do Sol,67,BR,1563420105,77,-20.63,-46.0,52.43,5.61
85,Vila Velha,40,BR,1563420107,78,-3.71,-38.6,86.0,6.93
86,Hilo,90,US,1563420051,61,19.71,-155.08,80.6,8.05
87,Luderitz,0,NA,1563420109,53,-26.65,15.16,50.0,1.12
88,Pepel,100,SL,1563420110,85,8.59,-13.06,77.27,11.99
89,Ahipara,9,NZ,1563420112,100,-35.17,173.16,62.01,12.01
90,Sao Jose da Coroa Grande,0,BR,1563420113,92,-8.9,-35.15,68.27,3.62
91,Tazovskiy,95,RU,1563420114,71,67.47,78.7,58.19,6.98
92,Shimoda,75,JP,1563420115,83,34.7,138.93,82.4,2.24
93,Pevek,34,RU,1563420116,94,69.7,170.27,32.27,7.94
94,Lebu,75,ET,1563420117,87,8.96,38.73,57.2,4.7
95,Tuktoyaktuk,75,CA,1563420119,87,69.44,-133.03,55.4,10.29
96,Jalu,0,LY,1563420120,76,29.03,21.55,70.61,8.9
97,Angoche,0,MZ,1563420121,96,-16.23,39.91,64.13,4.59
98,Skelleftea,0,SE,1563420122,100,64.75,20.95,52.0,4.7
99,Meulaboh,67,ID,1563420123,79,4.14,96.13,81.95,9.19
100,Moultrie,1,US,1563420125,83,31.18,-83.79,81.0,5.03
101,Taseyevo,1,RU,1563420126,51,57.22,94.9,76.37,2.75
102,Ballina,100,IE,1563420127,91,54.11,-9.15,57.0,3.0
103,Salme,75,NP,1563420128,83,28.04,85.09,75.2,3.2
104,Norman Wells,90,CA,1563420129,82,65.28,-126.83,66.2,2.24
105,Bambanglipuro,64,ID,1563420029,84,-7.95,110.28,75.47,18.7
106,Bunbury,75,GB,1563420132,93,53.12,-2.65,60.01,9.17
107,Faanui,0,PF,1563420134,75,-16.48,-151.75,76.73,18.9
108,Turaiyur,20,IN,1563420135,70,11.17,78.62,84.2,9.17
109,Narsaq,100,GL,1563420136,71,60.91,-46.05,50.0,5.82
110,Grand-Santi,75,GF,1563420137,98,4.27,-54.38,71.51,1.14
111,Edd,65,ER,1563420139,40,13.93,41.69,90.41,6.2
112,Plettenberg Bay,57,ZA,1563420140,42,-34.05,23.37,57.47,4.43
