,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barcelos,0,BR,1566660847,51,-0.97,-62.93,91.08,3.22
1,Jamestown,0,AU,1566660879,94,-33.21,138.6,39.78,5.14
2,Ushuaia,40,AR,1566660853,65,-54.81,-68.31,46.4,3.36
3,Albany,40,US,1566660881,60,42.65,-73.75,70.0,9.17
4,East London,0,ZA,1566660882,44,-33.02,27.91,75.2,3.36
5,Kodiak,75,US,1566660883,73,39.95,-94.76,72.0,11.41
6,Barrow,100,AR,1566660884,55,-38.31,-60.23,59.94,14.29
7,Baghdad,0,IQ,1566660886,16,33.3,44.38,109.4,4.7
8,San Patricio,0,PY,1566660887,54,-26.98,-56.83,71.28,5.08
9,Cayenne,20,GF,1566660888,59,4.94,-52.33,89.6,6.93
10,Kapaa,90,US,1566660889,74,22.08,-159.32,80.6,17.22
11,Nikolskoye,75,RU,1566660890,63,59.7,30.79,64.4,17.9
12,Hobart,75,AU,1566660891,65,-42.88,147.33,44.6,11.41
13,Nanortalik,100,GL,1566660893,65,60.14,-45.24,46.08,10.42
14,Qom,0,IR,1566660894,10,34.64,50.88,83.16,7.25
15,Vaini,20,IN,1566660877,88,15.34,74.49,75.2,5.82
16,Bafq,0,IR,1566660896,11,31.6,55.4,78.66,11.99
17,Puerto Ayora,40,EC,1566660897,69,-0.74,-90.35,75.2,10.29
18,Rikitea,100,PF,1566660898,71,-23.12,-134.97,69.12,20.42
19,Kaitangata,57,NZ,1566660899,69,-46.28,169.85,44.01,1.99
20,Kavieng,94,PG,1566660901,76,-2.57,150.8,82.8,10.42
21,New Norfolk,75,AU,1566660902,65,-42.78,147.06,44.6,11.41
22,Pandharpur,34,IN,1566660903,73,17.68,75.33,77.4,15.5
23,Hilo,90,US,1566660904,64,19.71,-155.08,75.2,5.82
24,Yellowknife,90,CA,1566660905,87,62.45,-114.38,51.8,5.82
25,Kuruman,0,ZA,1566660907,11,-27.46,23.43,77.0,7.63
26,San Miguel,0,AR,1566660908,63,-34.54,-58.72,64.0,10.29
27,Yilan,32,CN,1566660909,94,43.11,129.52,56.7,2.1
28,Mataura,97,NZ,1566660910,83,-46.19,168.86,44.01,1.99
29,Khor,6,RU,1566660911,93,47.88,134.96,52.74,5.01
30,Gornopravdinsk,100,RU,1566660912,85,60.06,69.92,53.46,13.65
31,Severo-Kurilsk,100,RU,1566660914,90,50.68,156.12,48.06,21.54
32,Roebourne,0,AU,1566660915,64,-20.77,117.15,64.98,7.85
33,Cherskiy,3,RU,1566660916,51,68.75,161.3,53.28,4.74
34,Hamilton,20,CA,1566660876,63,43.26,-79.87,71.01,10.29
35,Upernavik,43,GL,1566660918,64,72.79,-56.15,42.48,8.9
